"id"	"gene_symbol"	"terms"	"entrez_id"	"synonyms"	"chromosome"	"map_location"	"description"	"canonical_transcript"	"create_date"	"update_date"
"25"	"ABL1"	"ABL1|ABL|bcr/abl|c-ABL|c-ABL1|CHDSKM|JTK7|p150|v-abl"	"25"	"ABL|bcr/abl|c-ABL|c-ABL1|CHDSKM|JTK7|p150|v-abl"	"9"	"9q34.12"	"ABL1, ABL proto-oncogene 1, non-receptor tyrosine kinase, plays a role in regulation of cell growth through ERK5, Rac/JNK, and Stat1/3 pathways (PMID: 10373409). Fusion proteins of BCR-ABL1 resulting in constitutive kinase activity have been reported in various cancers (PMID: 18851712, PMID: 30125955) and a number of Abl1 mutations in the context of BCR-ABL1 have been demonstrated to confer drug resistance (PMID: 24456693)."	"NM_005157"	"05/26/2013"	"02/04/2019"
"207"	"AKT1"	"AKT1|AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA"	"207"	"AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA"	"14"	"14q32.33"	"AKT1, RAC-alpha serine/threonine-protein kinase, is a ubquitously expressed serine-threonine protein kinase, which regulates a variety of cell functions including, metabolism, growth, angiogenesis, cell proliferation and survival through PI3K signaling in response to extracellular signals (PMID: 23297823, PMID: 26698230). Akt1 mutations are observed in a variety of tumor types (PMID: 23134728), including breast cancer (PMID: 30212483), gastric cancer (PMID: 29714127), salivary carcinoma (PMID: 29682203), and overexpression has been observed in osteosarcoma (PMID: 29762834) and gastric cancer (PMID: 29278885)."	"NM_001014432"	"05/26/2013"	"03/25/2019"
"238"	"ALK"	"ALK|CD246|NBLST3"	"238"	"CD246|NBLST3"	"2"	"2p23.2-p23.1"	"ALK, anaplastic lymphoma kinase, is a receptor in the insulin receptor superfamily and is a key regulator of neuronal development (PMID: 21502284) and also promotes cell proliferation through activation of MAPK and PI3K signaling pathways (PMID: 27573755). Alk activating mutations, rearrangements, and fusions have been identified in various cancers (PMID: 22649787), including EML4-ALK in non-small cell lung cancer (PMID: 30108712, PMID: 30194140), and a number of mutations confer resistance in the context of Alk fusions (PMID: PMID: 25749034, PMID: 21948233)."	"NM_004304"	"05/29/2013"	"09/17/2018"
"324"	"APC"	"APC|BTPS2|DP2|DP2.5|DP3|GS|PPP1R46"	"324"	"BTPS2|DP2|DP2.5|DP3|GS|PPP1R46"	"5"	"5q22.2"	"APC, adenomatous polyposis coli, is a tumor suppressor (PMID: 30562755) and multi-domain protein regulating numerous cellular functions through interaction with beta-catenin and subsequent inhibition of Wnt signalling (PMID: 21502284). APC germline mutations are associated with familial adenomatous polyposis (PMID: 30562755) and somatic mutations with colon, endometrial, NSCLC, and breast cancers (PMID: 27283171)."	"NM_000038"	"05/25/2013"	"07/12/2019"
"8289"	"ARID1A"	"ARID1A|B120|BAF250|BAF250a|BM029|C1orf4|CSS2|ELD|hELD|hOSA1|MRD14|OSA1|P270|SMARCF1"	"8289"	"B120|BAF250|BAF250a|BM029|C1orf4|CSS2|ELD|hELD|hOSA1|MRD14|OSA1|P270|SMARCF1"	"1"	"1p36.11"	"ARID1A, AT rich interactive domain 1A (SWI1-like), is a member of the SWI/SNF chromatin remodeling complex and is involved in cell-cycle activation (PMID: 29136504). ARID1A has been reported to influence PI3K/AKT pathways (PMID: 24618703), and loss of function is commonly found in gastric, colorectal (PMID: 28937020), and bladder cancers (PMID: 28583311), while in liver cancer, Arida1a has a context dependent role (PMID: 29136504)."	"NM_006015"	"05/26/2013"	"01/09/2018"
"171023"	"ASXL1"	"ASXL1|BOPS|MDS"	"171023"	"BOPS|MDS"	"20"	"20q11.21"	"ASXL1, additional sex combs like 1, transcriptional regulator, is involved in epigenetic regulation of gene expression and forms complexes with several proteins to regulate transcription (PMID: 23736028). Mutations in ASXL1 are frequent in chronic myelomonocytic leukemia (PMID: 26771811, PMID: 23736028), and have been identified in a number of different tumor types including acute myeloid leukemia and liver cancer (PMID: 23736028)."	"NM_015338"	"05/22/2013"	"06/04/2019"
"472"	"ATM"	"ATM|AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1"	"472"	"AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1"	"11"	"11q22.3"	"ATM, ATM serine/threonine kinase, is a member of the serine-threonine kinase family and coordinates cellular responses to DNA damage through activation of distinct DNA repair and signaling pathways (PMID: 22079189). ATM germline mutations are associated with ataxia telangiectasia (PMID: 27283171) and ATM somatic mutations are associated with endometrial, colon, pancreatic, breast cancers (PMID: 27283171, PMID: 27413114) and urothelial cancer (PMID: 29682192)."	"NM_000051"	"05/26/2013"	"06/12/2019"
"546"	"ATRX"	"ATRX|JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX"	"546"	"JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX"	"X"	"Xq21.1"	"ATRX, transcriptional regulator ATRX, is in the SWI/SNF family of chromatin remodeling proteins and plays a role in DNA repair and telomere length. ATRX loss and mutations have been identified in a high percentage of tumor types including glioma (PMID: 23249563; PMID: 26936505) and copy number loss has also been observed in pancreatic neuroendocrine tumors (PMID: 30081149) and ovarian ependymomas (PMID: 29944970)."	"NM_000489"	"05/22/2013"	"10/07/2018"
"54880"	"BCOR"	"BCOR|ANOP2|MAA2|MCOPS2"	"54880"	"ANOP2|MAA2|MCOPS2"	"X"	"Xp11.4"	"BCOR, BCL6 corepressor, functions with B-cell CLL/lymphoma 6 (BCL6) as a transcriptional silencer (PMID: 10898795, PMID: 16943429) and also suppresses MLLT3 (AF9) transcriptional activity (PMID: 12776190). BCOR mutations from internal tandem duplication (ITD; PMID: 28687574) and loss of function mutations are commonly found in hematological cancers (PMID: 28827447) and are also found in retinoblastoma and sarcomas of the bone and kidney (PMID: 28827447)."	"NM_001123385"	"05/22/2013"	"12/07/2017"
"63035"	"BCORL1"	"BCORL1|BCoR-L1|CXorf10"	"63035"	"BCoR-L1|CXorf10"	"X"	"Xq26.1"	"BCORL1, BCL6 corepressor-like 1, is a transcription corepressor and is involved in histone deacetylase activity (PMID: 17379597). BCORL1 mutations have been observed in acute myeloid leukemia and myelodysplastic syndromes (PMID: 30618304), while elevated expression of BCORL1 has been identified in hepatocellular carcinoma (PMID: 22210327, PMID: 26879601)."	"NM_021946"	"05/05/2013"	"02/22/2019"
"673"	"BRAF"	"BRAF|B-raf|B-RAF1|BRAF1|NS7|RAFB1"	"673"	"B-raf|B-RAF1|BRAF1|NS7|RAFB1"	"7"	"7q34"	"BRAF, serine/threonine-protein kinase B-raf, is a member of the Raf family of serine/threonine protein kinases, which signals through the MAP kinase pathway to regulate cell proliferation and cell growth (PMID: 24737949, PMID: 29540830). BRAF mutations have been identified in a variety of cancers, including, colorectal (PMID: 30122982), lung (PMID: 29729495), thyroid (PMID: 12970315), and melanoma (PMID: 24737949), and a number of mutations have also been demonstrated to confer drug resistance (PMID: 27478040)."	"NM_004333"	"05/26/2013"	"04/03/2019"
"811"	"CALR"	"CALR|cC1qR|CRT|HEL-S-99n|RO|SSA"	"811"	"cC1qR|CRT|HEL-S-99n|RO|SSA"	"19"	"19p13.13"	"CALR, calreticulin, is a Ca2+ binding chaperone protein that plays a role in multiple biological processes, including protein folding and quality control, calcium homeostasis, immune response, cell adhesion and migration, and cell signaling (PMID: 19940256, PMID: 28470469, PMID: 22959412). CALR frameshift mutations have been identified in myeloproliferative neoplams, including essential thrombocytothemia and myelofibrosis (PMID: 24365789, PMID: 28470469)."	"NM_004343"	"05/25/2013"	"04/11/2018"
"867"	"CBL"	"CBL|C-CBL|CBL2|FRA11B|NSLL|RNF55"	"867"	"C-CBL|CBL2|FRA11B|NSLL|RNF55"	"11"	"11q23.3"	"CBL, Cbl proto-oncogene, E3 ubiquitin protein ligase, is an E3 ubiquitin-protein ligase involved in cell signaling and ubiquitination of tyrosine kinases (PMID: 23085373). Loss of function mutations in CBL result in increased tyrosine kinase signaling and oncogenic transformation, which may be responsive to FLT3 inhibitors (PMID: 23085373, PMID: 22990016)."	"NM_005188"	"05/26/2013"	"03/29/2018"
"868"	"CBLB"	"CBLB|Cbl-b|Nbla00127|RNF56"	"868"	"Cbl-b|Nbla00127|RNF56"	"3"	"3q13.11"	"CBLB, Cbl proto-oncogene B, is a ubiquitin ligase that negatively regulates receptor tyrosine kinase signaling through targeted degradation of active kinases, and is a key regulator of the immune system (PMID: 25477533). CBLB mutations have been observed in myeloid neoplasms, and loss of CBLB in mouse models results in increased anti-tumor immunity (PMID: 19901108, PMID: 25477533)."	"NM_170662"	"05/26/2013"	"03/08/2018"
"23624"	"CBLC"	"CBLC|CBL-3|CBL-SL|RNF57"	"23624"	"CBL-3|CBL-SL|RNF57"	"19"	"19q13.32"	"CBLC, E3 ubiquitin-protein ligase CBL-C, is an ubiquitin ligase that targets activated receptor kinases for degradation (PMID: 10362357). Overexpression of Cblc has been observed in non-small cell lung cancer (PMID:  29945960), mutations have been identified in myeloproliferative neoplasms (PMID: 22315494), and Cblc may modulate response to PARP inhibitors (PMID: 25883215)."	"NM_012116"	"05/25/2013"	"10/07/2018"
"999"	"CDH1"	"CDH1|Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO"	"999"	"Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO"	"16"	"16q22.1"	"CDH1, cadherin 1, type 1, encodes E-Cadherin and is a tumor suppressor (PMID: 30562755) involved in epithelial cell-cell adhesion, cell signaling, differentiation, and polarity (PMID: 18726070, PMID: 26674224). CDH1 germline mutations are associated with hereditary diffuse gastric cancer (PMID: 30562755) and somatic mutations are found in gastric, breast, colon, and NSCLC cancers (PMID: 27283171, PMID: 25184143)."	"NM_004360"	"05/26/2013"	"12/31/2018"
