debug_id,created_date,begin_date,credit_date,owner_id,client_id,contact_id,opportunity_id,product_id,lead_id,type,source_type,effort,owner_credit_percentage,raw_effort,description
Appointment.244421,6/19/18,6/20/18,6/19/18,100000012,NULL,NULL,NULL,NULL,NULL,Appointment-Candidate Prep/Review,Appointment-Candidate Prep/Review,0,1,0,Subject15790
Note.1225071,6/29/18,6/29/18,6/29/18,100000115,100000245,NULL,100000277,100210888,NULL,Left Message,Note-Left Message,0,1,1,This is Note#89636
Note.1225920,7/3/18,7/3/18,7/3/18,100000071,100025814,NULL,100001525,100124815,NULL,1st Interview,Note-1st Interview,0,1,0,This is Note#90209
PlacementCommission.3363,6/23/18,6/23/18,6/23/18,100000129,100021568,NULL,100002018,100194521,NULL,Unknown,DealSplit-Sales,0,1,0,NULL
Note.1222065,6/21/18,6/21/18,6/21/18,100000036,100007887,NULL,100001523,100099242,NULL,Left Message,Note-Left Message,0,1,1,This is Note#87484
Note.1222782,6/22/18,6/22/18,6/22/18,100000105,100023075,NULL,100007614,100154276,NULL,Left Message,Note-Left Message,0,1,1,This is Note#88009
Note.1219060,6/14/18,6/14/18,6/14/18,100000115,100026712,NULL,100008006,100168363,NULL,Left Message,Note-Left Message,0,1,1,This is Note#85284
Note.1223719,6/26/18,6/26/18,6/26/18,100000094,100005870,NULL,100004709,100099164,NULL,Message - Recruiting,Note-Message - Recruiting,0.083142988,1,2,This is Note#88668
Note.1223380,6/26/18,6/26/18,6/26/18,100000115,100010423,NULL,100000093,100054280,NULL,Email,Note-Email,0,1,1,This is Note#88434
Note.1224865,6/28/18,6/28/18,6/28/18,100000036,100001246,NULL,100001846,100218686,NULL,Left Message,Note-Left Message,0,1,1,This is Note#89470
Note.1227578,7/5/18,7/5/18,7/5/18,100000087,100007685,NULL,100002153,100171043,NULL,Live Call - Recruiting,Note-Live Call - Recruiting,0,1,2,This is Note#91235
Note.1219956,6/15/18,6/15/18,6/15/18,100000068,100025928,NULL,100001007,100129172,NULL,Coversation,Note-Coversation,0,1,3,This is Note#86014
Note.1226679,7/4/18,7/4/18,7/4/18,100000067,NULL,NULL,NULL,100169005,NULL,Email-Recruiting,Note-Email-Recruiting,0.106661457,1,3,This is Note#18857
Note.1222310,6/21/18,6/21/18,6/21/18,100000155,100027608,NULL,100001521,100004305,NULL,Message - Recruiting,Note-Message - Recruiting,0.091091091,1,2,This is Note#85592
Note.1225251,6/29/18,6/29/18,6/29/18,100000004,100000995,NULL,100007611,100073785,NULL,Live Call - Recruiting,Note-Live Call - Recruiting,0,1,2,This is Note#89773
Note.1222412,6/21/18,6/21/18,6/21/18,100000001,100024220,NULL,100000098,100189323,NULL,Email-Recruiting,Note-Email-Recruiting,0.148989003,1,3,This is Note#87588
JobSubmission.35218,6/18/18,6/18/18,6/18/18,100000094,100018857,NULL,100003005,100188172,NULL,Internal Submission,InternalSubmission,0.041571494,1,1,NULL
Appointment.243593,6/18/18,6/18/18,6/18/18,100000029,NULL,NULL,NULL,NULL,NULL,Appointment-Recruiting,Appointment-Recruiting,0,1,0,Subject15892
Appointment.243282,6/12/18,6/12/18,6/12/18,100000075,NULL,NULL,NULL,NULL,NULL,Appointment-example Event/Meeting,Appointment-example Event/Meeting,0,1,0,Subject18117
Note.1218322,6/12/18,6/12/18,6/12/18,100000155,100026712,NULL,100002146,100005849,NULL,Message - Recruiting,Note-Message - Recruiting,0.091091091,1,2,This is Note#84870
Note.1220379,6/16/18,6/16/18,6/16/18,100000115,100023075,NULL,100007614,100208543,NULL,Coversation,Note-Coversation,0,1,3,This is Note#86331
Note.1223182,6/23/18,6/23/18,6/23/18,100000087,100028067,NULL,100004394,100074072,NULL,Live Call - Recruiting,Note-Live Call - Recruiting,0,1,2,This is Note#88292
Note.1224048,6/27/18,6/27/18,6/27/18,100000075,100003933,NULL,100006380,100118494,NULL,Message - Recruiting,Note-Message - Recruiting,0.068893726,1,2,This is Note#21685
Note.1226814,7/4/18,7/4/18,7/4/18,100000155,100012281,NULL,100008040,100210498,NULL,Message - Recruiting,Note-Message - Recruiting,0.091091091,1,2,This is Note#90773
Note.1224323,6/27/18,6/27/18,6/27/18,100000041,100025870,NULL,100008002,100144705,NULL,Message - Recruiting,Note-Message - Recruiting,0.097547903,1,2,This is Note#87211
Sendout.109567,6/22/18,6/22/18,6/22/18,100000128,100007887,100030220,NULL,100219285,NULL,Sendout,Sendout,0,1,8,NULL
Appointment.244768,6/21/18,6/27/18,6/21/18,100000023,100003933,100017839,100006933,100091029,NULL,Interview,Interview,0.120029018,1,5,Subject16194: This is Appointment#2890
JobSubmission.35274,6/15/18,6/15/18,6/15/18,100000012,100003933,NULL,100005806,100164510,NULL,Internal Submission,InternalSubmission,0.02565006,1,1,NULL
Note.1228580,7/7/18,7/7/18,7/7/18,100000004,100023785,NULL,100000557,100045557,NULL,Email,Note-Email,0,1,1,This is Note#91879
Note.1228318,7/6/18,7/6/18,7/6/18,100000066,100026678,NULL,100001231,100163593,NULL,Email-Recruiting,Note-Email-Recruiting,0.086707956,1,3,This is Note#91710
Note.1218433,6/18/18,6/18/18,6/18/18,100000075,100003933,NULL,100006380,100118494,NULL,Message - Recruiting,Note-Message - Recruiting,0.068893726,1,2,This is Note#84952
Note.1225521,6/30/18,6/30/18,6/30/18,100000005,NULL,NULL,NULL,100210363,NULL,Live Call - Business Dev,Note-Live Call - New Client Dev't,0.035597097,1,1,This is Note#89957
Note.1225619,6/30/18,6/30/18,6/30/18,100000036,NULL,NULL,NULL,100071043,NULL,Coversation,Note-Coversation,0,1,3,This is Note#90026
Note.1224565,6/28/18,6/28/18,6/28/18,100000041,100025870,NULL,100008002,100011550,NULL,Live Call - Recruiting,Note-Live Call - Recruiting,0.097547903,1,2,This is Note#89264
Note.1219602,6/15/18,6/15/18,6/15/18,100000004,100018652,NULL,100005785,100010551,NULL,Message - Recruiting,Note-Message - Recruiting,0,1,2,This is Note#84970
Note.1218175,6/12/18,6/12/18,6/12/18,100000023,100003933,NULL,100006933,100086201,NULL,Message - Recruiting,Note-Message - Recruiting,0.048011607,1,2,This is Note#23318
Note.1219301,6/14/18,6/14/18,6/14/18,100000068,100023075,NULL,100004391,100075323,NULL,Coversation,Note-Coversation,0,1,3,This is Note#85537
Note.1224289,6/27/18,6/27/18,6/27/18,100000129,100004394,100005215,100005272,NULL,NULL,Message - Recruiting,Note-Message - Recruiting,0.069412662,1,2,This is Note#89075
Note.1220498,6/16/18,6/16/18,6/16/18,100000012,100003933,NULL,100005806,100164510,NULL,1st Interview,Note-1st Interview,0,1,0,This is Note#86419
Sendout.109535,6/21/18,6/21/18,6/21/18,100000029,100009880,100040904,100004184,100087276,NULL,Sendout,Sendout,0.174706024,1,8,NULL
Appointment.244792,6/21/18,6/23/18,6/21/18,100000068,NULL,NULL,NULL,NULL,NULL,Appointment-Meeting,Appointment-Meeting,0,1,0,Subject16200
Note.1225265,6/29/18,6/29/18,6/29/18,100000115,100008365,NULL,100007852,100183169,NULL,Coversation,Note-Coversation,0,1,3,This is Note#89781
Note.1224510,6/28/18,6/28/18,6/28/18,100000115,100000245,NULL,100000277,100224629,NULL,Left Message,Note-Left Message,0,1,1,This is Note#89229
Note.1224457,6/27/18,6/27/18,6/27/18,100000005,100018652,NULL,100005784,100239362,NULL,Message - Recruiting,Note-Message - Recruiting,0.071194193,1,2,This is Note#89200
Note.1219898,6/15/18,6/15/18,6/15/18,100000004,100000995,NULL,100007611,100198761,NULL,Message - Recruiting,Note-Message - Recruiting,0,1,2,This is Note#85973
Appointment.246200,6/30/18,7/5/18,6/30/18,100000124,NULL,NULL,NULL,NULL,NULL,Interview,Appointment-Interview,0,1,0,Subject16592
Note.1226632,7/4/18,7/4/18,7/4/18,100000128,100024267,NULL,100000560,100215101,NULL,Left Message,Note-Left Message,0,1,1,This is Note#90648
Note.1228528,7/7/18,7/7/18,7/7/18,100000094,100018421,NULL,100007476,100129474,NULL,1st Interview,Note-1st Interview,0,1,0,This is Note#91834
Note.1221580,6/20/18,6/20/18,6/20/18,100000036,100020302,NULL,100004424,100051030,NULL,Left Message,Note-Left Message,0,1,1,This is Note#87167
Note.1222744,6/22/18,6/22/18,6/22/18,100000115,100026712,NULL,100008006,100121066,NULL,Left Message,Note-Left Message,0,1,1,This is Note#87376
Note.1222724,6/22/18,6/22/18,6/22/18,100000109,100018652,NULL,100005784,100042795,NULL,Message - Recruiting,Note-Message - Recruiting,0,1,2,This is Note#87971
Note.1220572,6/16/18,6/16/18,6/16/18,100000115,100026712,NULL,100008006,100150479,NULL,Coversation,Note-Coversation,0,1,3,This is Note#86484
Note.1221119,6/19/18,6/19/18,6/19/18,100000004,100018652,NULL,100005785,100099930,NULL,Message - Recruiting,Note-Message - Recruiting,0,1,2,This is Note#84970
Note.1225208,6/29/18,6/29/18,6/29/18,100000029,100000297,NULL,100001847,100228677,NULL,Message - Recruiting,Note-Message - Recruiting,0.043676506,1,2,This is Note#89734
Note.1218829,6/18/18,6/18/18,6/18/18,100000008,100018652,NULL,100002717,100069518,NULL,Message - Recruiting,Note-Message - Recruiting,0,1,2,This is Note#85212
Note.1228769,7/7/18,7/7/18,7/7/18,100000066,100010527,NULL,100000828,100143910,NULL,Live Call - Recruiting,Note-Live Call - Recruiting,0.057805304,1,2,This is Note#91998
